"ABBOTINDIA","5.0"
"ABSLNN50ET","5.0"
"ASIANPAINT","5.0"
"AXISNIFTY","5.0"
"BAJAJ-AUTO","5.0"
"BATAINDIA","5.0"
"BHARTIARTL","5.0"
"BOSCHLTD","5.0"
"BSE500IETF","5.0"
"BSLSENETFG","5.0"
"BRITANNIA","5.0"
"BSLNIFTY","5.0"
"COLPAL","5.0"
"DABUR","5.0"
"DRREDDY","5.0"
"GRASIM","5.0"
"HDFCBANK","5.0"
"HCLTECH","5.0"
"HDFCNIFTY","5.0"
"HDFCSENSEX","5.0"
"HINDUNILVR","5.0"
"HNGSNGBEES","5.0"
"ICICIBANK","5.0"
"IDFNIFTYET","5.0"
"ITC","5.0"
"JUNIORBEES","5.0"
"KOTAKBANK","5.0"
"LICNETFN50","5.0"
"SENSEXETF","5.0"
"LIQUIDBEES","5.0"
"MARICO","5.0"
"MARUTI","5.0"
"MID150BEES","5.0"
"MIDCAPETF","5.0"
"MRF","5.0"
"MOM100","5.0"
"MOM50","5.0"
"NESTLEIND","5.0"
"MON100","5.0"
"NIFTYETF","5.0"
"NIF100BEES","5.0"
"NIF100IETF","5.0"
"NIFTYBEES","5.0"
"NIFTYIETF","5.0"
"NIFTY1","5.0"
"HDFCNIF100","5.0"
"PAGEIND","5.0"
"PIDILITIND","5.0"
"QNIFTY","5.0"
"RELIANCE","5.0"
"SBICARD","5.0"
"SBILIFE","5.0"
"SENSEXIETF","5.0"
"SETFNIF50","5.0"
"SETFNN50","5.0"
"SUNPHARMA","5.0"
"TATACONSUM","5.0"
"TCS","5.0"
"UBL","5.0"
"ULTRACEMCO","5.0"
"TITAN","5.0"
"TORNTPHARM","5.0"
"HDFCBSE500","5.0"
"UTINIFTETF","5.0"
"UTISENSETF","5.0"
"WIPRO","5.0"
"INFY","5.0"
"HDFCNEXT50","5.0"
"SHREECEM","5.0"
"MIDSELIETF","5.0"
"HDFCMID150","5.0"
"LIQUIDETF","5.0"
"HDFCSML250","5.0"
"MIDCAPIETF","5.0"
"HDFCLIQUID","5.0"
"HDFCLIFE","5.0"
"LIQUIDIETF","5.0"
"CIPLA","4.9"
"HAVELLS","4.9"
"ICICIGI","4.9"
"SYNGENE","4.9"
"BAJAJFINSV","4.9"
"APOLLOHOSP","4.9"
"ALKEM","4.8"
"AXISBANK","4.8"
"GODREJCP","4.8"
"PIIND","4.8"
"UNITDSPR","4.8"
"COROMANDEL","4.8"
"BERGEPAINT","4.8"
"ATUL","4.8"
"JKCEMENT","4.8"
"SRF","4.8"
"DIVISLAB","4.8"
"HEROMOTOCO","4.8"
"LUPIN","4.8"
"EICHERMOT","4.8"
"TECHM","4.8"
"RAMCOCEM","4.7"
"TVSMOTOR","4.7"
"TVSMOTOR","4.7"
"LTIM","4.7"
"PVRINOX","4.7"
"LT","4.6"
"M&M","4.6"
"IPCALAB","4.6"
"JSWSTEEL","4.6"
"BAJFINANCE","4.6"
"FEDERALBNK","4.6"
"ICICIPRULI","4.6"
"JUBLFOOD","4.6"
"ESCORTS","4.6"
"GUJGASLTD","4.5"
"MUTHOOTFIN","4.5"
"ASTRAL","4.5"
"TATAMOTORS","4.5"
"LTTS","4.5"
"TATACOMM","4.5"
"SBIN","4.4"
"VOLTAS","4.4"
"UPL","4.4"
"SUNTV","4.4"
"BALKRISIND","4.4"
"INDIGO","4.4"
"INDHOTEL","4.4"
"INDUSINDBK","4.4"
"APOLLOTYRE","4.4"
"IDFCFIRSTB","4.4"
"AUROPHARMA","4.4"
"MFSL","4.4"
"DALBHARAT","4.4"
"DEEPAKNTR","4.4"
"INDIAMART","4.4"
"MPHASIS","4.4"
"IDFC","4.4"
"POWERGRID","4.3"
"SIEMENS","4.3"
"CROMPTON","4.3"
"TATASTEEL","4.3"
"IGL","4.3"
"AUBANK","4.3"
"MOTHERSON","4.3"
"NAVINFLUOR","4.3"
"PERSISTENT","4.3"
"LALPATHLAB","4.3"
"LAURUSLABS","4.3"
"NTPC","4.2"
"PETRONET","4.2"
"CUMMINSIND","4.2"
"ASHOKLEY","4.2"
"TRENT","4.2"
"HINDALCO","4.2"
"CHOLAFIN","4.2"
"GRANULES","4.2"
"NAUKRI","4.2"
"CUB","4.2"
"COFORGE","4.2"
"GLENMARK","4.2"
"CANFINHOME","4.2"
"M&MFIN","4.2"
"BALRAMCHIN","4.2"
"BPCL","4.1"
"TATACHEM","4.1"
"HDFCAMC","4.1"
"OBEROIRLTY","4.1"
"DLF","4.1"
"AARTIIND","4.1"
"SHRIRAMFIN","4.1"
"METROPOLIS","4.1"
"BSOFT","4.1"
"GNFC","4.1"
"LTF","4.1"
"IOC","4.0"
"ONGC","4.0"
"BHARATFORG","4.0"
"COALINDIA","4.0"
"LICHSGFIN","4.0"
"MGL","4.0"
"ACC","4.0"
"BIOCON","4.0"
"TATAPOWER","4.0"
"JINDALSTEL","4.0"
"BANDHANBNK","4.0"
"OFSS","3.9"
"EXIDEIND","3.9"
"ABB","3.9"
"POLYCAB","3.9"
"ABCAPITAL","3.9"
"IRCTC","3.9"
"PEL","3.9"
"IEX","3.9"
"DIXON","3.9"
"FEDFINA","3.8"
"ABSLBANETF","3.8"
"AKZOINDIA","3.8"
"ALPL30IETF","3.8"
"AUTOBEES","3.8"
"AXISBPSETF","3.8"
"AXISCETF","3.8"
"AXISBNKETF","3.8"
"AKZOINDIA","3.8"
"ALPL30IETF","3.8"
"AUTOBEES","3.8"
"AXISBPSETF","3.8"
"AXISCETF","3.8"
"AXISBNKETF","3.8"
"AXISGOLD","3.8"
"AXISHCETF","3.8"
"AXISILVER","3.8"
"AXISTECETF","3.8"
"BANKBEES","3.8"
"BFSI","3.8"
"BSLGOLDETF","3.8"
"CONSUMBEES","3.8"
"HEALTHIETF","3.8"
"DIVOPPBEES","3.8"
"FINIETF","3.8"
"FMCGIETF","3.8"
"FEDFINA","3.8"
"GOLDETF","3.8"
"GOLDSHARE","3.8"
"GOLDBEES","3.8"
"HDFCGOLD","3.8"
"HDFCNIFBAN","3.8"
"HDFCNIFIT","3.8"
"HDFCQUAL","3.8"
"HDFCSILVER","3.8"
"HEALTHY","3.8"
"ICICIB22","3.8"
"INFRABEES","3.8"
"ITBEES","3.8"
"HDFCVALUE","3.8"
"MAKEINDIA","3.8"
"MOLOWVOL","3.8"
"NIFTYQLITY","3.8"
"NPBET","3.8"
"NV20BEES","3.8"
"PFIZER","3.8"
"PGHH","3.8"
"PGHL","3.8"
"PHARMABEES","3.8"
"PVTBANIETF","3.8"
"RELAXO","3.8"
"SANOFI","3.8"
"SBIETFCON","3.8"
"SBIETFIT","3.8"
"SBIETFPB","3.8"
"SBIETFQLTY","3.8"
"SETFGOLD","3.8"
"SETFNIFBK","3.8"
"SILVER","3.8"
"SILVERBEES","3.8"
"SILVERETF","3.8"
"SILVERIETF","3.8"
"TATATECH","3.8"
"TNIDETF","3.8"
"UTIBANKETF","3.8"
"ITETF","3.8"
"HDFCPSUBK","3.8"
"ALPHA","3.8"
"GOLD1","3.8"
"HDFCGROWTH","3.8"
"MUTHOOTMF","3.8"
"HDFCLOWVOL","3.8"
"LOWVOLIETF","3.8"
"HDFCPVTBAN","3.8"
"HDFCMOMENT","3.8"
"EQUAL50ADD","3.8"
"GAIL","3.7"
"BEL","3.7"
"ABFRL","3.7"
"BANKBARODA","3.7"
"GODREJPROP","3.7"
"AMBUJACEM","3.7"
"MANAPPURAM","3.7"
"CELLO","3.7"
"SYMPHONY","3.7"
"VINATIORGA","3.7"
"ZYDUSWELL","3.7"
"GILLETTE","3.7"
"KANSAINER","3.7"
"GALAXYSURF","3.7"
"MAFANG","3.7"
"SANSERA","3.7"
"TTKPRESTIG","3.7"
"TMB","3.7"
"EGOLD","3.7"
"MAHSCOOTER","3.6"
"SWARAJENG","3.6"
"PNB","3.6"
"MCX","3.6"
"ASKAUTOLTD","3.6"
"BAYERCROP","3.6"
"MAHKTECH","3.6"
"HAPPSTMNDS","3.6"
"GOLDIETF","3.6"
"TATAELXSI","3.6"
"INDIGOPNTS","3.6"
"CLEAN","3.6"
"KIMS","3.6"
"SWARAJENG","3.6"
"HAPPSTMNDS","3.6"
"MAHSCOOTER","3.6"
"BAJAJHLDNG","3.6"
"TATAELXSI","3.6"
"AETHER","3.6"
"ROSSARI","3.6"
"STARHEALTH","3.6"
"MAHKTECH","3.6"
"GOLDIETF","3.6"
"HINDPETRO","3.5"
"INDUSTOWER","3.5"
"CHOICEIN","3.5"
"CPSEETF","3.5"
"GANDHAR","3.5"
"UNIPARTS","3.5"
"GODREJAGRO","3.5"
"MANKIND","3.5"
"MSUMI","3.5"
"MANYAVAR","3.5"
"RADIANTCMS","3.5"
"AIAENG","3.5"
"TATVA","3.5"
"HCG","3.5"
"NUVOCO","3.5"
"AJANTPHARM","3.5"
"VSTIND","3.5"
"SAPPHIRE","3.5"
"KAJARIACER","3.5"
"HGS","3.5"
"MOLDTKPAC","3.5"
"INDIACEM","3.5"
"GMRINFRA","3.5"
"ROUTE","3.5"
"CCL","3.5"
"FINEORG","3.5"
"HIL","3.4"
"ABSLAMC","3.4"
"AEROFLEX","3.4"
"TVSSCS","3.4"
"IKIO","3.4"
"SIRCA","3.4"
"ORIENTELEC","3.4"
"CONCORDBIO","3.4"
"RACE","3.4"
"MEDPLUS","3.4"
"BIKAJI","3.4"
"CRISIL","3.4"
"CMSINFO","3.4"
"TCIEXP","3.4"
"NILKAMAL","3.4"
"GRINDWELL","3.4"
"FDC","3.4"
"APLLTD","3.4"
"FORTIS","3.4"
"LAXMIMACH","3.4"
"NH","3.4"
"ISEC","3.4"
"HESTERBIO","3.4"
"BLUESTARCO","3.4"
"ANURAS","3.4"
"RBLBANK","3.4"
"PRINCEPIPE","3.4"
"VMART","3.4"
"CHOLAHLDNG","3.4"
"JBCHEPHARM","3.4"
"DECCANCE","3.4"
"EPL","3.4"
"NESCO","3.4"
"TCI","3.4"
"UTIAMC","3.4"
"KPRMILL","3.4"
"SHOPERSTOP","3.4"
"HNDFDS","3.4"
"UTINEXT50","3.3"
"MAHLIFE","3.3"
"GLAXO","3.3"
"MOMOMENTUM","3.3"
"GMMPFAUDLR","3.3"
"GREENPANEL","3.3"
"VRLLOG","3.3"
"ADVENZYMES","3.3"
"NATCOPHARM","3.3"
"ENDURANCE","3.3"
"VENKEYS","3.3"
"CRAFTSMAN","3.3"
"SCHAEFFLER","3.3"
"WESTLIFE","3.3"
"SIS","3.3"
"FMGOETZE","3.3"
"CHEVIOT","3.3"
"AAVAS","3.3"
"BAJAJCON","3.3"
"REDTAPE","3.3"
"3MINDIA","3.3"
"QUESS","3.3"
"ANDHRSUGAR","3.3"
"DEVYANI","3.3"
"AFFLE","3.3"
"BARBEQUE","3.3"
"GHCL","3.3"
"GMMPFAUDLR","3.3"
"ADVENZYMES","3.3"
"CRAFTSMAN","3.3"
"CHALET","3.3"
"BARBEQUE","3.3"
"THYROCARE","3.3"
"AUTOAXLES","3.3"
"RADICO","3.3"
"TARSONS","3.3"
"VIDHIING","3.3"
"AMBIKCO","3.3"
"VBL","3.3"
"VRLLOG","3.3"
"VENKEYS","3.3"
"GREENPANEL","3.3"
"AVALON","3.3"
"3MINDIA","3.3"
"PSUBNKIETF","3.3"
"JIOFIN","3.2"
"JSWINFRA","3.2"
"BASF","3.2"
"TIDEWATER","3.2"
"GATEWAY","3.2"
"UTKARSHBNK","3.2"
"OCCL","3.2"
"YATHARTH","3.2"
"HARSHA","3.2"
"ACI","3.2"
"CYIENTDLM","3.2"
"EMAMILTD","3.2"
"UNOMINDA","3.2"
"GRINFRA","3.2"
"TIMKEN","3.2"
"APOLLOPIPE","3.2"
"RATNAMANI","3.2"
"PSPPROJECT","3.2"
"DIVGIITTS","3.2"
"KSCL","3.2"
"FIVESTAR","3.2"
"VIPIND","3.2"
"VSTTILLERS","3.2"
"NCLIND","3.2"
"RALLIS","3.2"
"GANECOS","3.2"
"GMBREW","3.2"
"IMPAL","3.2"
"MAHLOG","3.2"
"METROBRAND","3.2"
"REDINGTON","3.2"
"BIRLACORPN","3.2"
"TEAMLEASE","3.2"
"CSBBANK","3.2"
"HOMEFIRST","3.2"
"ESABINDIA","3.2"
"SONACOMS","3.2"
"CARERATING","3.2"
"360ONE","3.2"
"SHREDIGCEM","3.2"
"LAOPALA","3.2"
"BUTTERFLY","3.2"
"TTKHLTCARE","3.2"
"GODREJIND","3.2"
"INDOCO","3.2"
"IFBAGRO","3.2"
"MAPMYINDIA","3.2"
"SJS","3.2"
"EVEREADY","3.2"
"EIDPARRY","3.2"
"APLAPOLLO","3.2"
"ANDHRAPAP","3.2"
"CHEMPLASTS","3.2"
"CHEMCON","3.2"
"PPLPHARMA","3.2"
"IGPL","3.2"
"TVTODAY","3.2"
"LXCHEM","3.2"
"KKCL","3.2"
"APCOTEXIND","3.2"
"LGBBROSLTD","3.2"
"VTL","3.2"
"ASAHIINDIA","3.2"
"RUPA","3.2"
"SIYSIL","3.2"
"HERANBA","3.2"
"JKLAKSHMI","3.2"
"STYLAMIND","3.2"
"EQUITASBNK","3.2"
"DCMSHRIRAM","3.2"
"HIKAL","3.2"
"UFLEX","3.2"
"CAPLIPOINT","3.2"
"CIEINDIA","3.2"
"DWARKESH","3.2"
"HLEGLAS","3.2"
"KRBL","3.2"
"EXPLEOSOL","3.2"
"AARTIDRUGS","3.2"
"SAIL","3.2"
"NATIONALUM","3.2"
"INOXINDIA","3.2"
"HAL","3.1"
"PFC","3.1"
"ADANIPORTS","3.1"
"LICI","3.1"
"ZFCVINDIA","3.1"
"AVANTIFEED","3.1"
"DHANUKA","3.1"
"GHCLTEXTIL","3.1"
"HMAAGRO","3.1"
"PILANIINVS","3.1"
"CENTENKA","3.1"
"KFINTECH","3.1"
"CAMPUS","3.1"
"LUXIND","3.1"
"SAHYADRI","3.1"
"ASALCBR","3.1"
"CASTROLIND","3.1"
"VENUSPIPES","3.1"
"JUSTDIAL","3.1"
"JUBLINGREA","3.1"
"CDSL","3.1"
"FSL","3.1"
"PHOENIXLTD","3.1"
"DELHIVERY","3.1"
"FLUOROCHEM","3.1"
"HUHTAMAKI","3.1"
"POLYPLEX","3.1"
"JINDALPOLY","3.1"
"MAXHEALTH","3.1"
"GNA","3.1"
"RBA","3.1"
"AMIORG","3.1"
"APTUS","3.1"
"PARADEEP","3.1"
"DCBBANK","3.1"
"RANEHOLDIN","3.1"
"KARURVYSYA","3.1"
"DTIL","3.1"
"PRIVISCL","3.1"
"KRISHANA","3.1"
"RHIM","3.1"
"JKPAPER","3.1"
"CONTROLPR","3.1"
"CEATLTD","3.1"
"MBAPL","3.1"
"CREDITACC","3.1"
"SHANKARA","3.1"
"TNPETRO","3.1"
"CIGNITITEC","3.1"
"GREAVESCOT","3.1"
"LINCOLN","3.1"
"NYKAA","3.1"
"VISHWARAJ","3.1"
"PRSMJOHNSN","3.1"
"DREAMFOLKS","3.1"
"SSWL","3.1"
"POONAWALLA","3.1"
"SUNTECK","3.1"
"KRSNAA","3.1"
"POLYMED","3.1"
"ECLERX","3.1"
"RPGLIFE","3.1"
"SAFARI","3.1"
"SHARDACROP","3.1"
"GLOBUSSPR","3.1"
"BEPL","3.1"
"MINDACORP","3.1"
"RELIGARE","3.1"
"DHAMPURSUG","3.1"
"CYIENT","3.1"
